volume,vwap,open,close,high,low,time,transactions
811467160.0,6.413,6.4686,6.3839,6.5071,6.3339,1213761600,158908
792717604.0,6.4314,6.3768,6.4607,6.5121,6.3143,1213848000,154674
888367116.0,6.3254,6.4054,6.2596,6.4643,6.25,1213934400,158802
646016672.0,6.2014,6.2407,6.1843,6.2814,6.1271,1214193600,119903
622073844.0,6.2036,6.1507,6.1875,6.2779,6.1296,1214280000,124140
644449876.0,6.3054,6.2361,6.3354,6.3868,6.21,1214366400,126381
869608320.0,6.0867,6.2168,6.0093,6.2444,6.0004,1214452800,171352
1042174420.0,5.9975,5.9486,6.0746,6.0918,5.8625,1214539200,184619
684338144.0,6.0342,6.0782,5.98,6.1429,5.9507,1214798400,135495
1111279568.0,6.1195,5.8618,6.2386,6.24,5.8571,1214884800,220714
838648384.0,6.1852,6.2571,6.0064,6.3375,6.0064,1214971200,171351
523361748.0,6.0601,6.0568,6.0757,6.1489,5.9196,1215057600,107464
820388884.0,6.2434,6.1843,6.2557,6.3261,6.1393,1215403200,174400
888686092.0,6.3034,6.2643,6.4125,6.4179,6.1693,1215489600,185581
896097692.0,6.3779,6.4339,6.2232,6.4611,6.2193,1215576000,180263
840684516.0,6.2582,6.2471,6.3082,6.3336,6.1204,1215662400,168913
929930792.0,6.211,6.2668,6.1636,6.3254,6.1071,1215748800,188910
886054120.0,6.28,6.4014,6.21,6.4036,6.1814,1216008000,179103
1040041856.0,6.089,6.16,6.0586,6.205,5.9425,1216094400,203374
748063876.0,6.102,6.0786,6.1718,6.1761,6.0214,1216180800,146775
757477168.0,6.1785,6.2179,6.1361,6.2493,6.1211,1216267200,143287
868412188.0,5.9688,6.0232,5.8982,6.0589,5.8929,1216353600,157167
1359321460.0,5.7987,5.9607,5.9389,5.9821,5.7543,1216612800,232729
1879592092.0,5.5121,5.3214,5.7864,5.8129,5.2332,1216699200,338582
1061766104.0,5.9125,5.8925,5.9379,6.0132,5.77,1216785600,198735
839616960.0,5.7556,5.8707,5.6796,5.9021,5.6589,1216872000,165775
633635016.0,5.757,5.7286,5.79,5.8214,5.6661,1216958400,123435
780954580.0,5.6211,5.7979,5.5143,5.8025,5.5007,1217217600,150122
684221440.0,5.623,5.5504,5.61,5.6946,5.4875,1217304000,139939
725263308.0,5.6648,5.635,5.71,5.7318,5.5743,1217390400,147876
637518700.0,5.7213,5.6264,5.6768,5.7929,5.6064,1217476800,127510
545049204.0,5.6113,5.7107,5.595,5.7139,5.5625,1217563200,108392
592695488.0,5.5637,5.5929,5.4725,5.6393,5.4611,1217822400,118432
688635500.0,5.6401,5.5507,5.7371,5.7429,5.5293,1217908800,141116
790475224.0,5.7909,5.7132,5.8639,5.9786,5.6429,1217995200,156620
672498820.0,5.8609,5.8111,5.8418,5.9339,5.7679,1218081600,135073
714112560.0,5.9889,5.8521,6.0554,6.0589,5.8482,1218168000,143342
891301768.0,6.1888,6.0739,6.1986,6.3036,6.0596,1218427200,173648
836420648.0,6.3339,6.1971,6.3118,6.4032,6.1968,1218513600,163512
842822008.0,6.3768,6.3564,6.4036,6.4286,6.2821,1218600000,165634
711300828.0,6.3993,6.3689,6.4043,6.4446,6.3514,1218686400,133340
708314628.0,6.335,6.3943,6.2764,6.4196,6.2518,1218772800,126573
552012496.0,6.2806,6.2704,6.2639,6.3504,6.2079,1219032000,103251
616202608.0,6.2491,6.2336,6.1975,6.3239,6.1361,1219118400,118618
507123064.0,6.261,6.2419,6.28,6.3193,6.2004,1219204800,98159
540018220.0,6.2068,6.2311,6.2246,6.2661,6.1389,1219291200,106259
439758844.0,6.314,6.2793,6.3139,6.3393,6.2704,1219377600,83048
484496600.0,6.2,6.2911,6.1625,6.2939,6.1307,1219636800,93157
445778144.0,6.2062,6.17,6.2014,6.2457,6.1646,1219723200,82924
477779288.0,6.2247,6.1896,6.2382,6.2771,6.1497,1219809600,90569
431378584.0,6.241,6.26,6.205,6.2946,6.1696,1219896000,81460
599348512.0,6.0943,6.1771,6.0546,6.1964,6.0371,1219982400,106846
781429404.0,6.0388,6.1571,5.9354,6.1964,5.8929,1220328000,152901
734947276.0,5.948,5.9586,5.9629,6.0243,5.8571,1220414400,143244
744211496.0,5.8523,5.9236,5.7579,5.9969,5.7432,1220500800,148596
786882852.0,5.7165,5.6618,5.7207,5.8,5.6304,1220587200,161486
1046231508.0,5.6126,5.8775,5.64,5.8889,5.4092,1220846400,215160
1245021568.0,5.5337,5.6021,5.4171,5.7129,5.3496,1220932800,243915
973324632.0,5.4286,5.44,5.4146,5.5354,5.3143,1221019200,205353
971133016.0,5.3249,5.2911,5.4518,5.4639,5.2143,1221105600,192361
793295496.0,5.3051,5.3896,5.3193,5.3896,5.2321,1221192000,167975
920634036.0,5.1392,5.0725,5.0129,5.2746,5.0129,1221451200,189089
1199836176.0,4.9142,4.7807,4.9957,5.0893,4.7196,1221537600,236154
1200452960.0,4.7335,4.9461,4.5654,4.9468,4.5654,1221624000,232046
1676253236.0,4.5401,4.6632,4.7889,4.8368,4.31,1221710400,334771
1429474284.0,5.0333,5.0929,5.0325,5.15,4.8929,1221796800,259281
856699256.0,4.8538,4.9979,4.6804,5.0089,4.6664,1222056000,174899
1283161460.0,4.6923,4.7089,4.53,4.85,4.5236,1222142400,248322
1047365284.0,4.5913,4.5454,4.5968,4.6768,4.4696,1222228800,204566
1006043920.0,4.7078,4.6357,4.7118,4.8139,4.59,1222315200,203072
1126449744.0,4.5145,4.4611,4.58,4.6357,4.3929,1222401600,219475
2622026652.0,3.899,4.2721,3.7593,4.2743,3.5925,1222660800,511016
1627420312.0,3.9557,3.8639,4.0593,4.1071,3.7964,1222747200,308969
1297392628.0,3.9328,3.9971,3.8971,4.0129,3.8354,1222833600,267853
1610518616.0,3.6748,3.8575,3.575,3.8854,3.5714,1222920000,312581
2299913952.0,3.6182,3.7143,3.4668,3.8036,3.3804,1223006400,445126
2107829892.0,3.2786,3.2843,3.505,3.5279,3.1264,1223265600,432156
1881767356.0,3.3566,3.5886,3.1843,3.625,3.1768,1223352000,393572
2209284280.0,3.2962,3.0683,3.2068,3.4404,3.06,1223438400,473327
