channel_title,channel_id,view_count,subscriber_count,video_count
Organic Nutrition Ltd.,UCMoMK7baayj0fD5O7e8Ecew,2426116,1910,108
Diet Malayalam By Bincy,UC-CZGw5-Q5Rg3K6h2MBefaQ,2391301,48800,34
Ultimate Pet Nutrition,UC-QvL-m2Npr3KaVizEra1mw,2314491,14800,206
Effective Nutrition,UC-pD5sTCw3turDYl6vMrXRA,2304531,2650,148
FITNESS JUNCTION NUTRITION 💪,UCynS-8IyKKoXeg4HcZl64WA,2299401,3490,240
Nutrition Outlet,UCQZwUeC_4X__DV2ZSWnV77w,2272635,4120,273
Persona Nutrition,UCoUdq2JffKMpgRNLldMpZyA,2214328,658,358
Beauty and Diet,UCdjA4CoRhIZTMFcVfmlsKKA,2181954,4710,172
كوتش أسماء / diet with asmaa / coach asmaa,UC_IO20FT5lLEp2cRqkGPiHg,2025616,49400,365
The Diet Channel,UCH0YGmQrXNdVc0cCmMabDbg,2007933,26900,65
Madhuri's Diet Plan,UCnDwRTEKFZqF5dXE58liPAw,1966853,2490,867
ETOILE NOIRE DIET,UC3ziVr9EuaeEVD-9byz6DWQ,1919562,50900,364
WAYT nutrition,UCRDjCoJeyAJ2zJj6sgzfNGQ,1838154,7170,670
Optivita Nutrition,UCLFWuiq40BvO-vq_egfvNqQ,1746833,5220,108
Book A Week Diet,UClTLr9PeCyRSV9l4OjD5jyA,1740960,2080,5
African nutrition TV,UCHbXh5yXdCeRzMSc0TDKjig,1622254,31400,234
Timeline Nutrition,UCLrzBI9lZwDhYA4ifWh2vZw,1611047,744,22
THE VARIETY NUTRITION,UCYYK-ANZtn8Nd_xUqdbJJog,1602193,5570,2438
Zoe Nutrition For Life,UC4_DIIkk-pGtVmjF4D5VEoQ,1578345,1900,209
Origin Nutrition,UCnQzfURlxNheaT6UJEolwYQ,1559561,2900,262
井岡一翔 Diet Academy,UCXI8KoYyz5TEc7mI5UavGPg,1543188,14200,36
BTW NUTRITION,UCm-u2HQY6aUbKQD52ykRQ6w,1540796,5900,18
Power of Nutrition,UCEEIffW2pL7UZd3RTzlpdgA,1501240,13700,202
Live Life More Diet and Wellness,UCynhyvQukDCYE5PQ6mUiI1g,1495906,30200,781
Prorganiq Sports Nutrition,UCeifzXL0kIOevE84eU6TSWw,1464500,2060,163
Yoga Diet & Lifestyle,UCFYiz0nylYxUrXlXO2Pt5-g,1433348,4800,138
Nutrition Pro,UCYrh3oC_xAplZHwbFEP8YhA,1385243,14800,217
아델린 Adelyn Diet,UCXDfar8kyVa72atGx6U-LGQ,1379472,14100,117
Power Nutrition,UC7_TCmXdHxshWq0VEGggHvg,1357171,13900,163
EAT Not Diet,UCgpW9c9ZpZYjgta6CHOkfFQ,1350670,11700,278
Survivor Diet,UCeO1jbcJ_HSP6mlI0kNBvdA,1346781,3780,100
Butik Diet,UCSI5e6_sUOp9_LkGcRGwARw,1252233,18100,41
Jacked Nutrition,UC4eXSSTNIrmF3aydpKx5SVA,1251543,8950,294
NuBest Nutrition,UCYI-OunO7a1XxJq8fPXGmfg,1238574,5220,322
Sublation Media with Douglas Lain,UCw8UOnQWwTb8xHx0NDC_w5g,1232556,12400,465
"wonderqueentv - FITNESS, DIET & FASHION",UC32VklfSDwuwq1oIMUp6uAw,1228698,14500,19
Gagal Diet,UCwzHVQDHJZY0ilt3xgcNooQ,1206815,9380,386
bodybuilding and diet,UCtQPhn2s0zAECmsSbT9RYwQ,1176534,1960,1722
T. Colin Campbell Center for Nutrition Studies,UCvA4aEygxOtOewPDfGnnHmg,1175161,18100,268
Aesthetic Nutrition and Training,UCsRVAHuAgBTreU5y-2QRaIA,1151428,5310,142
AMPD Nutrition,UCnJVrBr-6pfznUFmO8cHz-Q,1150458,2080,43
Amy Berger - Keto Without the Crazy,UCmDz-SYYhoerycynsCm7L8g,1145370,30600,311
Oh Yeah ! Sports Nutrition 2,UCQPsyWDbrJTsQJ630-p496Q,1142067,1260,534
Plant Based Nutrition Support Group,UCs5h1mE8C7Py2y13i3yfvAw,1109418,23600,66
Ignite Nutrition,UCeIuc6Wh-xm_PlI5fPQNhJw,1089383,6160,28
Diet Water,UCfgVT0qt1p1110kknkQvXhw,1086477,1640,4
Rock Solid Nutrition,UCpal_zcjQ6Sc5Ej55d_j3Fg,1081766,961,121
NUTRITION LK,UCZGHL11Q3ctCzssElrHoVtg,1040912,37700,69
SuTasty Nutrition,UCZztU1mSaubV_VJ254ro4ag,1034888,2900,299
Diet Ninja,UC-oFD0rAtCP4UUqGS97wkeQ,1014695,27400,85
USN SA - Ultimate Sports Nutrition,UCVkpwvgM_K4Sg1xcTw4SElQ,1013757,3890,269
Diet & Fitness,UCG7NGzqzw97C0IBUo_ZdqlQ,1005235,13000,255
Institute of Child Nutrition,UC4tz7o6PmB4-1fJTXN9K1Uw,1000928,2750,268
The Diet Diary,UCbmBjlDQIr-bdJOIflEer0Q,998041,5700,156
Vikas Dhavaria - Nutrition,UCOXYjr0fyhxRGZGoN4Sgs6w,994880,16700,57
Elite Nutrition RVA,UCUxZp5k7XDxbKhU2YxsxEKw,968931,7810,1169
Samayal Diet,UChggdpKLbHdB0p_C1fBQQ6w,967152,2060,1664
K-Diet,UCb86C7D_UguKODxb0dY3Wsg,966212,5550,16
Pureline Nutrition,UCErUnhKOhzwy9_7Ucox5_UA,955147,4560,225
Nestlé Nutrition Institute,UCPM_dpauuhdZJSkrY8i1NmQ,922643,11200,652
Whole Life Nutrition,UCiYTYuEwQrAG2sTKiaLaXZA,917186,9110,33
UNIQUE Weight Loss and Diet Clinic,UC-aFOLCQPJu5L6sFzlLE6uQ,911556,3950,338
ALL 4 DIET,UCC9xL5WakRNGqQz8uUx98tQ,893762,5520,131
Modern Health & Nutrition,UCvwW28-1N9XZwCxUuFjpsHg,888349,14300,506
FA Engineered Nutrition®,UCggaPU1tQRZJ-t7Ai1pmmwg,846250,5210,182
يوميات لولو دايت_Lolo Diet,UCZaw07-iw3py94pruy6BQ4g,842987,2320,13
Thai Nutrition,UCbdr3wdLLqsY76xL9DfVqOQ,804832,15300,80
Menu Diet Real Food,UCRFiK9EUhU4SvyLLlm2kd3w,798877,12200,86
Mama Knows Nutrition,UCZVfWip9w-u0TQKCHWlRtWA,786435,5540,270
Optimum Nutrition HKTW,UCk7rI5i6UzPK54ZGvFd39BQ,765682,4,7
Diet & Fitness Tales,UCqHe1CoeoOIgHoslE9-bmYA,755750,8290,255
GM Nutrition,UC6PqblB1Z62SfbyzujeDbnQ,745819,47500,37
New Ways Nutrition,UCDyoXMxC2MfyOLxdn54dJ9w,733227,5700,73
Bright Diet,UCzJc5oNZ_0DikPo9l4jfKDQ,724802,13100,10
The Nutrition Diary,UCf3cp4yDMH2cztnykgsXKhQ,695436,8220,320
Free Nutrition,UCjBv0r1RtWWPdf8i9dc0quA,688260,4810,142
Diet & Fitness Marathi,UCh2Ad--Z_4XnooquoLO2JmA,687226,10200,84
Amit Yoga Diet,UCg7YOr5qbHP4A8wugfs4i5w,657106,4300,90
Central Nutrition,UCvJpzg3F4O1yhah9lUWHREQ,646814,21900,143
RUTBORN NUTRITION,UCKH6CPR9HA-m41nZTiGa4Xg,646516,1980,295
Soldiers Nutrition,UCGv2lykgfJu5s8SQ1ddbG5A,644964,1310,34
BlueCherry Nutrition,UCMidKGqHrLup6ZQy9czxMVw,629824,15900,99
Trouw Nutrition Benelux,UCxnc_pUli1FYG9oINgG7Vnw,622763,1170,182
 Switch Diet And Lifestyle,UCWgMOJzOD2wZ-yw72q92S_Q,611793,4930,17
Debm Diet Enak Bahagia Menyenangkan,UCZcYkRtOWg1EWZmG_xU0jiA,609082,71600,369
Diet Boot,UCbK_e07iQar7Sg1GjtCcg3g,606982,3350,939
Health Plus Nutrition,UCxFLre1xTXuD0NDyxbSiIKQ,605337,1160,56
Supermass Nutrition,UCXmMJFw9uioOctoX1FwNixA,599303,2900,39
ADM Animal Nutrition,UCz9V88FXvPgcjfDWUxsxQBA,592539,2520,184
Diabetes Diet Guy,UCg7nXAJHW0mKUaN-I-AhIKg,580420,7430,180
Aras rojhalati_Dr diet,UCY_FQUKvnAa-gS3kIe9lgcg,573890,11700,233
nutrition with shubham,UC4DO4lOS4s7HU9I9F-vpGjA,571373,2260,305
Nutrition World,UC2fu3wiWFI4YmQBLJYBBlKQ,570857,11100,302
GenZ Nutrition - USA Supplement Store,UCDg5La4YSiSLpqevbmy0-6Q,568650,3010,577
Signum Fitness & Nutrition,UC4sJ82xbtBWjWjuE_vL2d3Q,562855,479,636
Deliish Nutrition by Eva ,UCuocEwp40Pz5VrcxlymeYpQ,562830,5590,192
The Nutrition Store LLC,UCrza7Snzl1EfxE46UZjigcw,562664,1380,953
Dishin’ Nutrition,UCli42LsTvw_r1NsEPMgxBQg,548761,1130,285
DIET TEHRI GARHWAL UTTARAKHAND,UCOnPblxymRfYuOTOWSChDMA,548348,4250,107
BEPERFECT NUTRITION,UC3vEg6IL-g4vS7rgP2ubEqQ,546049,4710,70
Sang Su diet (이상수 다이어트),UC8q4GCa3qMS3TvuHZgrLC9w,543104,5270,57
Ranawat Diet,UCIWkopvPi8Lfjn3iHDuUvKg,536177,9100,725
Toman Diet Official,UCe_wWYej4t-yc-Y9zCFz0mA,535693,3780,177
Fitness & Nutrition for Health,UCqOaAXiGToVFMu6Yi7udgeg,534245,1260,417
Phạm Gia Nutrition Channel,UC6kN5r585nPpuG3Hf2Ysn0Q,530217,4040,1057
Nutrition Guru Sanjeev Pandey,UC9hFBoo8iKNICsgrTJBSkoA,530123,7900,258
Nutrition Triathlon,UCex01xXyKqklIkdN3Oufh3g,523340,8530,133
diet kale,UCJ8IeBmbpjzYbJtaHsutwZw,523101,8800,17
Sudha Diet Clinic,UCZr0xOvAIcSFVvr_OS9t65w,521415,2700,686
Diet Cig - Topic,UC_yaYIb40E-8S0GdxZ0Nzbw,518201,635,67
Protective Diet,UCic4b-SuMEsUJf4IjIWBHNA,516471,4090,480
The Nutrition Spot,UCKCxbMCkaJy7avEBlJXdLRw,514114,1440,273
D.I.E.T BIDAR,UCp13ARDUaU_OU9XCVu0qALg,512159,4380,361
Jenn Clayton Nutrition,UCBJNoQCWfgE-L766S7m22qQ,509538,8250,344
Applied Nutrition,UCY_3DKl5NDcTwjIh7lLUGWA,500587,1230,68
CSIRO Total Wellbeing Diet,UCiGlXJ278HiTrH9sMmE9BGg,492209,2660,146
Diet with sana,UCR5I7B_cJdk_riJJlQlPWYQ,474491,17400,82
DIET BALLARI,UCeuUDhl_2qsGJcekjnlwjuA,471159,3620,361
Diet Direct,UC2atrcD5UUNYLdI04_KUM4w,465896,60,16
Snake Diet Fat Man,UC9mKMRge6cWrm9GU3LG9Y2A,465535,6700,289
Aloe Nutrition Telugu,UCpTaoBVhl1D1xG3rOwPEgig,452315,5660,222
Celebrity Diet & Workout routines,UC_pqY-AX8KjabowmJ4tCvug,445554,2460,64
Nutrition Laboratory,UC7V1pdXAmQrdksH-U_bL54Q,434263,5290,362
Kidney Diet,UCSjbKZIgDexvYC51be8pB2Q,431299,5000,223
"国立国会図書館公式チャンネル National Diet Library, Japan",UCHpDnv60i1LxOszXgBSE7DA,424399,4960,278
Nutrition for Dancers with Rachel Fine,UCaIiH31VMt1DxaJ4gYXGY7g,420657,2560,454
The Diet Doc,UCo7PPfKTKHuW8Sdi6SBhDdQ,420042,5000,1345
Nutrition Kitchen,UC8ga3DDigfOP9LSBNN4GQew,420029,5880,77
Diet vlog / mizoみぞ,UC2fdGUfcngrNHmRvqcwenUg,417742,4780,34
Diet Mum Repeat,UCXzv07BgIecD4_4UcivGjig,412145,740,1213
Shelley's Diet Diary,UCT7kT3k9fgZ_7ASXMCE9M8A,406534,21100,219
Romans Empire Nutrition Supplements ,UC1pTxOVx1nf9I85P99CRxPQ,402061,4270,371
XOXO Food Nutrition,UCVxcc0RCFkTSVx_GBi-Mqvw,401824,3450,314
Global Alliance for Improved Nutrition (GAIN),UC_U-ObpYKZtaSRtur_MYJHw,398937,2330,447
DIET Pune,UCrkKLZSl5BoHF_zoaSdf-OA,397260,8550,123
Minimalist Carnivore,UCu_lXOUJLpJWDKz5WiMHUbg,396274,8270,67
"66 Spirituality, Health & Nutrition",UC_0RHS4RmCaSL4RHLb-CNuQ,379610,4190,12
Advanced Nutrition and Health,UCcYD1hWXmWeT8FP_jmQFBBA,375851,9160,127
Clinica Smart Nutrition,UC18PxML-HX5urcxvMY5nCsA,373938,3110,149
Barrett Nutrition,UC5WyYtlXdiIf1ni_lv_WjCA,371565,4910,443
The Rebels Diet,UCzgU05K31tN-U1PVj3Ej4zw,367031,4200,188
DeFlame Nutrition by Dr. David Seaman,UC01BY1nkLX15_RdTd4LOK1g,365804,4600,111
G-Plans Custom Nutrition,UCVAWCVyHa376vqhOu9ar_BQ,365214,9350,116
JADEE Little Diet,UCRsvW9Ll1eybqM8LP_r18cA,361609,12300,30
The Kidney Nutrition Institute,UC9vF1GSa862RH0r64XEuOGA,361189,6250,140
DIET Mathura Online Classes,UC0VvFiidoYOWl9Q7QYiLCvA,360967,7200,354
TOMOSHIKI-DIET,UCTPhJ_dblL2gy16rMrPr68A,357151,10400,96
Diet Trash - Topic,UC4TOLVnjHPWHVC8ePfFBljA,353098,38,302
Ares Nutrition,UCBEIf1IAKsA_Ue4TBRjbEIw,351666,1570,244
Nutrition 108 INDIA,UCtFFDlmTdLzdMi75-bZ0ecA,349867,2490,334
KBakopoulos Nutrition,UCK0dHrB5mE_tyxRiCc9Ulgg,348076,9110,48
"Kidney Stone Diet with Nurse Jill Harris, LPN, CHC",UCgGU1UtFveq57MyN-Uqhz1A,346249,8830,210
Nutrition Detective,UCNbgzk3ouCb3r-pbA38fxjQ,340100,6230,182
Diet With Dema,UCLYdaIAfhpk6qPQpLHx1dKA,339021,17700,53
Performance Nutrition Podcast,UC-jYKOZ4ZzlAJfVexEp0NtQ,334772,5020,343
